Gene ID,Control_16hpi_rep1,Control_16hpi_rep2,Control_16hpi_rep3,_AP2-MRPKO_16hpi_rep1,_AP2-MRPKO_16hpi_rep2,_AP2-MRPKO_16hpi_rep3,Control_40hpi_rep1,Control_40hpi_rep2,Control_40hpi_rep3,_AP2-MRPKO_40hpi_rep1,_AP2-MRPKO_40hpi_rep2,_AP2-MRPKO_40hpi_rep3
PF3D7_0113600,56,26,31,40,39,60,433,704,1051,282,340,192
PF3D7_0508300,679,369,551,330,342,317,317,432,542,1214,1177,1189
PF3D7_1307300,131,61,105,88,99,78,131,173,193,587,591,483
PF3D7_0830600,2990,1953,2543,5486,6079,7228,5090,8121,11477,8081,9155,8560
PF3D7_0527200,1373,928,1224,776,851,727,10290,10196,12281,13409,13650,12558
PF3D7_0423200,112,72,102,102,126,84,414,635,729,1076,1111,1000
PF3D7_1451100,97518,56182,79335,57858,50467,75501,15155,16209,21745,62757,64059,57924
PF3D7_1313600,4,0,8,8,18,9,2430,2891,3010,6763,7729,6579
PF3D7_1330700,15,8,11,9,11,13,532,633,728,1465,1462,1427
PF3D7_1301600,201,182,173,47,42,58,68743,65207,84168,185,198,218
PF3D7_0110800,2393,1815,2125,1490,1358,1843,5569,5410,7211,5727,5663,5079
PF3D7_1118100,152,91,126,128,140,140,233,257,321,805,722,712
PF3D7_0619700,19,25,26,29,11,30,1753,1774,2038,2458,2308,2260
PF3D7_1108700,6132,4654,5407,3831,3394,3910,3658,3805,4950,10933,10952,10228
PF3D7_0114700,0,0,1,1,1,0,0,0,0,0,0,0
PF3D7_0314200,16,19,28,12,6,9,252,271,283,699,688,601
PF3D7_1212500,724,335,512,752,633,866,1504,1655,2080,3750,3734,3255
PF3D7_0906200,21,16,26,19,27,21,107,125,126,252,285,289
PF3D7_1409200,18,4,11,9,9,7,897,982,1137,1987,2146,2234
PF3D7_1253100,572,327,453,439,489,387,379,730,906,1236,1278,1124
PF3D7_0610600,100,52,102,59,54,54,1798,1869,2232,4002,4390,3898
PF3D7_1121900,2,1,3,4,13,4,472,631,647,837,775,750
PF3D7_API05800,0,0,0,0,0,0,0,0,0,0,0,0
PF3D7_0323800,823,470,675,773,942,741,467,571,598,1796,1911,1702
PF3D7_0324000,11,10,14,5,9,6,4,3,6,40,38,37
PF3D7_1317200,1023,654,872,537,506,587,312,295,372,8290,10208,9755
PF3D7_1137100,888,644,882,500,508,599,445,379,503,1206,1055,967
PF3D7_0303300,1093,734,945,828,950,992,718,841,973,2135,2050,1891
PF3D7_0620400,7,4,12,6,8,8,6413,4988,7233,2848,3482,2733
PF3D7_1211600,1339,861,1065,875,935,936,2105,2323,2787,7278,7102,5939
PF3D7_0801000,18467,14544,17746,16592,14813,19273,7717,9549,15018,14301,15646,10363
PF3D7_1020600,179,111,198,148,119,177,373,381,447,1531,1611,1516
PF3D7_0413800,0,3,5,0,2,0,88,135,142,280,268,244
PF3D7_0632400,170,138,160,34,26,16,1,1,2,21,19,17
PF3D7_1363800,10,2,7,5,8,12,167,131,196,799,791,649
PF3D7_1000800,132,122,133,34,25,39,1,0,1,1,1,0
PF3D7_0423300,3,1,8,7,6,5,9518,8989,10737,8981,11301,10033
PF3D7_1459300,15,7,20,13,19,18,100,166,173,173,178,195
PF3D7_0612000,10,14,21,17,20,20,422,394,417,777,754,816
PF3D7_1014300,93,70,95,108,98,97,3411,3821,4247,7670,7729,6709
PF3D7_1434200,4810,3597,4557,3818,3604,5072,11998,11563,13984,17544,19528,17553
PF3D7_0103200,518,369,492,293,384,318,347,461,566,1133,1122,1228
PF3D7_1025800,0,0,1,2,8,3,593,544,645,1180,1090,1180
PF3D7_1461500,5,5,2,6,10,7,19,15,20,84,91,99
PF3D7_0318800,0,0,0,0,0,1,234,327,264,176,192,147
PF3D7_1446400,51,45,52,60,66,79,180,176,235,1422,1392,1239
PF3D7_1406100,249,188,181,181,185,171,596,842,905,976,1079,963
PF3D7_0602800,64,29,72,61,69,64,48,79,86,190,168,163
PF3D7_1127500,15,1,12,6,16,13,1983,2139,2403,4905,4779,4505
PF3D7_1149900,1357,1173,1670,460,381,547,1,0,0,3,3,1
PF3D7_0418100,1286,973,1109,1077,1056,1077,388,472,608,1367,1421,1130
PF3D7_1458100,40,30,28,68,55,39,101,136,176,450,484,425
PF3D7_1226600,19,23,20,12,9,17,965,1067,1355,2264,2439,2227
mal_mito_RNA19,0,0,0,0,0,0,0,0,0,1,1,0
PF3D7_1037700,260,161,198,210,197,156,67,82,127,290,296,264
PF3D7_1360200,677,445,580,391,470,497,390,430,527,1261,1211,1123
PF3D7_1324800,226,161,249,273,259,315,1261,1357,1528,3219,3010,3054
PF3D7_1475500,0,0,1,1,0,0,0,5,5,12,16,7
PF3D7_0935000,831,577,651,536,534,890,845,1162,1515,1786,1893,1666
PF3D7_1339000,0,0,2,1,2,2,15,21,21,90,56,48
PF3D7_1462400,1130,691,933,1446,1493,1776,1188,1853,2442,3112,3194,2561
PF3D7_0700800,109,78,128,30,25,33,2,2,0,1,2,1
PF3D7_1110000,54,50,57,42,39,51,107,101,135,506,417,397
PF3D7_1222700,161,152,161,163,168,173,39315,35434,48186,21783,26590,20363
PF3D7_0420900,57,47,48,65,68,63,39,36,49,942,877,623
PF3D7_0608400,22,9,17,14,16,13,345,349,409,1126,1090,1156
PF3D7_1220900,1552,1033,1336,625,676,703,9183,7527,10455,10110,10344,8701
PF3D7_1325500,20,16,19,5,9,10,237,237,267,855,889,692
PF3D7_0211000,139,90,130,123,122,116,39,108,69,115,135,203
PF3D7_1003500,8215,6536,7474,4677,4461,6919,2356,2418,2935,5140,5000,5495
PF3D7_1456400,3,1,1,2,1,1,72,66,87,667,612,478
PF3D7_0704500,19,7,12,41,43,33,8443,8344,9123,10841,12080,11439
PF3D7_1106600,105,94,102,41,61,59,188,197,226,823,821,585
PF3D7_0104700,0,0,0,1,0,1,7,4,5,20,30,22
PF3D7_1221100,6,9,12,2,3,1,61,85,63,110,118,130
PF3D7_1132000,732,573,653,743,757,777,3936,4085,4927,13859,15065,13697
PF3D7_0613400,49,29,42,26,28,33,2558,2304,2795,3801,3737,3609
PF3D7_0714300,1042,772,931,962,889,1039,1222,1318,1697,2434,2332,2080
PF3D7_0724800,40,24,25,17,20,12,3605,3827,4291,2670,2590,2473
PF3D7_0509000,613,415,564,439,396,545,2081,2081,2466,4068,4178,3786
PF3D7_0410400,416,274,361,293,304,322,362,400,535,1423,1265,1188
PF3D7_1373200,0,0,0,0,0,0,0,0,0,0,0,0
PF3D7_0707700,2066,1478,1631,1308,1259,1401,8319,8135,10625,11266,12804,11179
PF3D7_0508600,853,672,742,948,796,923,1671,1477,1843,2632,3010,2479
PF3D7_0833200,1,4,2,0,1,2,0,1,0,1,2,1
PF3D7_1233600,1626,965,1230,1621,1489,1574,4548,5782,6411,17831,17504,15945
PF3D7_0730000,18,17,21,4,6,8,84,84,101,264,264,213
PF3D7_1123400,8459,6317,7826,6297,5460,6465,2656,2714,3798,7685,7815,6944
PF3D7_1366600,1606,1028,1351,934,922,1145,7830,8373,10538,6654,7170,6308
PF3D7_1332600,77,49,82,29,24,34,3715,4382,4480,4312,4417,4340
